,bankcode,bankbrifname,type,placetype,county,district,address,longitude,latitude,lngOfDisCenter,latOfDisCenter,lngOfCouCenter,latOfCouCenter,units,stdLongitude,stdLatitude,dbscan組,縣市據點數
0,700,郵局,2,公務機關,新北市,泰山區,半山雅70號,121.423728,25.067976,121.4162785,25.05549774,121.6739,24.91571,1,-0.6967029437835784,0.5050998197952846,592,3709
1,700,郵局,2,公務機關,新北市,泰山區,半山雅70之2號,121.423798,25.068014,121.4162785,25.05549774,121.6739,24.91571,1,-0.6958366889594987,0.505632625782015,592,3709
2,13,國世,2,大賣場百貨,新北市,林口區,公園路59號1樓,121.367622,25.068816,121.3527235,25.1000868,121.6739,24.91571,1,-1.3910185602730079,0.5168776363440689,591,3709
3,700,郵局,2,學校,新北市,林口區,公園路46號,121.367903,25.068715,121.3527235,25.1000868,121.6739,24.91571,1,-1.3875411659081578,0.5154614941161685,591,3709
4,13,國世,2,捷運站,新北市,土城區,金城路一段105號B1(2號出口),121.443753,24.972757,121.445737,24.96425102,121.6739,24.91571,1,-0.4488921887804837,-0.8299857920600328,590,3709
5,700,郵局,2,公務機關,新北市,土城區,金城路1段101號,121.442873,24.972532,121.445737,24.96425102,121.6739,24.91571,1,-0.45978224942475177,-0.8331405643498901,590,3709
6,13,國世,2,捷運站,新北市,板橋區,南雅南路二段17號B1_2號出口,121.453163,24.999544,121.4579675,25.01186453,121.6739,24.91571,1,-0.33244279029961976,-0.454399635045501,589,3709
7,13,國世,2,捷運站,新北市,板橋區,南雅南路二段17號B1(2號出口),121.453163,24.999544,121.4579675,25.01186453,121.6739,24.91571,1,-0.33244279029961976,-0.454399635045501,589,3709
8,17,兆豐,2,其他私場所,新北市,樹林區,博愛街242號2樓,121.423505,24.985797,121.401034,24.97970609,121.6739,24.91571,1,-0.6994625841512937,-0.6471492113503684,588,3709
9,50,臺企,2,其他私場所,新北市,樹林區,博愛街248號3樓,121.42333,24.984887,121.401034,24.97970609,121.6739,24.91571,1,-0.7016282212112294,-0.6599085126115639,588,3709
10,5,土銀,2,大賣場百貨,新北市,土城區,永安街25號,121.433589,24.964141,121.445737,24.96425102,121.6739,24.91571,1,-0.5746723892225183,-0.9507925389461095,587,3709
11,807,永豐,2,大賣場百貨,新北市,土城區,永安街25號,121.433589,24.964141,121.445737,24.96425102,121.6739,24.91571,1,-0.5746723892225183,-0.9507925389461095,587,3709
12,4,臺銀,1,行內營業所,新北市,八里區,商港路123號2樓,121.390738,25.150952,121.4138359,25.13812763,121.6739,24.91571,1,-1.1049564672567371,1.6685237554520838,586,3709
13,700,郵局,2,公務機關,新北市,八里區,商港路123號,121.390738,25.150952,121.4138359,25.13812763,121.6739,24.91571,1,-1.1049564672567371,1.6685237554520838,586,3709
14,5,土銀,2,其他私場所,新北市,貢寮區,福隆街４０號,121.943493,25.018108,121.9182466,25.02485641,121.6739,24.91571,1,5.7354247503067946,-0.19410988931740178,585,3709
15,700,郵局,2,公務機關,新北市,貢寮區,興隆街36號,121.942775,25.017455,121.9182466,25.02485641,121.6739,24.91571,1,5.726539450826459,-0.20326573956305907,585,3709
16,8,華銀,2,其他私場所,新北市,三峽區,溪東路352號,121.412172,24.92848,121.4163094,24.88209766,121.6739,24.91571,1,-0.8397092401538604,-1.4508029150724475,584,3709
17,700,郵局,2,其他私場所,新北市,三峽區,溪東路352號,121.412172,24.92848,121.4163094,24.88209766,121.6739,24.91571,1,-0.8397092401538604,-1.4508029150724475,584,3709
18,13,國世,2,便利商店,新北市,新莊區,瓊泰路59號,121.443246,25.028607,121.4367535,25.0358303,121.6739,24.91571,1,-0.4551663487198734,-0.046901203667813855,583,3709
19,13,國世,2,便利商店,新北市,新莊區,瓊泰路71號1樓,121.443149,25.028863,121.4367535,25.0358303,121.6739,24.91571,1,-0.45636673040449127,-0.04331177386246721,583,3709
20,13,國世,2,便利商店,新北市,板橋區,大觀路二段142-2號,121.442482,24.999092,121.4579675,25.01186453,121.6739,24.91571,1,-0.4646209013702234,-0.46073722204554907,582,3709
21,13,國世,2,便利商店,新北市,板橋區,大觀路二段265巷16號1樓,121.442761,24.998446,121.4579675,25.01186453,121.6739,24.91571,1,-0.46116825714313875,-0.46979492381996524,582,3709
22,700,郵局,1,行內營業所,新北市,板橋區,大觀路2段313號,121.44174,24.998535,121.4579675,25.01186453,121.6739,24.91571,1,-0.47380320250444913,-0.46854703611421383,582,3709
23,13,國世,2,便利商店,新北市,新店區,安祥路104之10號,121.479236,24.962251,121.5316565,24.93039008,121.6739,24.91571,1,-0.009787618504684004,-0.9772926261809116,581,3709
