縣市,登記單位數,登記數(A),除戶數(B),轉讓數(C),變更數(D),絕育數(E),絕育除戶數(F),免絕育數(G),免絕育除戶數(H),絕育率(E-F)/(A-B),繁殖管理率(E-F)+(G-H)/(A-B)
新北市,212,6253,2190,254,589,3207,1202,48,16,49.35,50.14
臺北市,226,6865,1789,272,1843,3922,1031,19,6,56.95,57.21
臺中市,157,6271,2300,326,346,4688,1557,232,46,78.85,83.53
臺南市,81,2850,640,286,182,1543,257,97,8,58.19,62.22
高雄市,159,8238,2601,230,885,4344,1369,340,46,52.78,57.99
桃園市,109,4746,1070,235,411,3130,595,68,23,68.96,70.18
宜蘭縣,13,795,342,29,154,300,117,25,11,40.40,43.49
新竹縣,15,878,337,31,44,454,163,12,1,53.79,55.82
苗栗縣,15,368,113,56,23,177,47,1,0,50.98,51.37
彰化縣,27,1420,313,61,38,348,77,13,0,24.48,25.65
南投縣,11,757,307,94,65,410,131,33,7,62.00,67.78
雲林縣,20,1023,455,47,33,812,340,7,3,83.10,83.80
嘉義縣,11,759,120,38,34,514,40,19,2,74.18,76.84
屏東縣,25,1026,165,28,44,648,79,5,0,66.09,66.67
臺東縣,6,227,91,9,12,85,26,5,3,43.38,44.85
花蓮縣,18,1549,859,24,189,590,346,21,11,35.36,36.81
澎湖縣,4,524,259,29,11,161,80,55,21,30.57,43.40
基隆市,11,630,122,22,45,245,62,2,0,36.02,36.42
新竹市,20,614,188,24,39,387,129,13,2,60.56,63.15
嘉義市,18,739,170,23,18,565,126,1,0,77.15,77.33
金門縣,1,700,441,43,63,280,143,35,10,52.90,62.55
連江縣,1,52,13,2,5,17,2,0,0,38.46,38.46
合計,1160,47284,14885,2163,5073,26827,7919,1051,216,58.36,60.94
