縣市,登記單位數,登記數(A),除戶數(B),轉讓數(C),變更數(D),絕育數(E),絕育除戶數(F),免絕育數(G),免絕育除戶數(H),絕育率(E-F)/(A-B),繁殖管理率(E-F)+(G-H)/(A-B)
新北市,275,15037,1786,11344,14863,7973,713,364,27,54.79,57.33
臺北市,217,8717,959,5698,9317,5598,426,160,18,66.67,68.50
臺中市,211,14189,1720,7418,10134,9786,1083,1807,137,69.80,83.19
臺南市,152,10640,789,3637,5291,5458,235,547,31,53.02,58.26
高雄市,198,15845,2483,8989,11794,8430,849,1181,166,56.74,64.33
桃園市,162,10417,935,7203,9424,5705,430,101,15,55.63,56.54
宜蘭縣,18,1781,271,973,1480,810,96,211,49,47.28,58.01
新竹縣,21,2375,304,1370,1843,1425,115,256,32,63.25,74.07
苗栗縣,27,5116,839,1638,2626,2329,283,60,7,47.84,49.08
彰化縣,58,5568,995,2254,3196,3151,521,257,11,57.51,62.89
南投縣,25,3558,427,1027,1453,2630,259,101,11,75.73,78.60
雲林縣,33,4305,653,1095,1728,3250,441,185,10,76.92,81.71
嘉義縣,14,2771,268,846,1309,1769,68,91,3,67.96,71.47
屏東縣,50,5095,606,2116,2686,3028,203,157,28,62.93,65.81
臺東縣,7,3114,878,520,1120,1761,461,131,21,58.14,63.06
花蓮縣,25,2754,269,737,1100,1668,152,26,2,61.01,61.97
澎湖縣,3,681,142,321,513,298,32,76,8,49.35,61.97
基隆市,15,1399,161,1058,1553,717,43,13,2,54.44,55.33
新竹市,26,1584,220,1216,1525,831,67,133,5,56.01,65.40
嘉義市,27,850,94,346,521,417,43,18,4,49.47,51.32
金門縣,1,686,113,313,507,364,43,120,16,56.02,74.17
連江縣,1,53,8,25,46,32,5,1,0,60.00,62.22
合計,1566,116535,14920,60144,84029,67430,6568,5996,603,59.89,65.20
