縣市,登記單位數,登記數(A),除戶數(B),轉讓數(C),變更數(D),絕育數(E),絕育除戶數(F),免絕育數(G),免絕育除戶數(H),絕育率(E-F)/(A-B),繁殖管理率(E-F)+(G-H)/(A-B)
新北市,239,11470,1566,722,2658,6682,814,363,49,59.25,62.42
臺北市,218,8020,936,511,2905,5679,585,169,27,71.91,73.91
臺中市,197,13033,2159,422,1721,9863,1563,1285,106,76.33,87.17
臺南市,129,9189,898,451,1481,6016,486,745,72,66.70,74.82
高雄市,203,13453,1440,460,2431,8066,616,687,66,62.02,67.19
桃園市,137,7606,927,448,1420,4756,462,243,24,64.29,67.57
宜蘭縣,12,1849,383,67,297,1044,147,251,112,61.19,70.67
新竹縣,19,2670,592,118,312,1486,231,217,33,60.39,69.25
苗栗縣,18,4496,949,211,572,2512,495,55,10,56.86,58.13
彰化縣,45,3638,539,186,710,2530,313,159,25,71.54,75.86
南投縣,16,2646,435,103,262,2101,305,150,25,81.23,86.88
雲林縣,30,4963,1157,61,393,2717,536,1436,320,57.30,86.63
嘉義縣,12,2233,249,68,291,1614,96,106,22,76.51,80.75
屏東縣,43,3688,360,110,316,2501,126,91,21,71.36,73.47
臺東縣,6,3182,1108,78,1462,2092,684,105,29,67.89,71.55
花蓮縣,20,2090,276,79,349,1451,182,59,6,69.96,72.88
澎湖縣,5,587,154,57,195,287,70,85,16,50.12,66.05
基隆市,13,1640,139,90,731,1139,86,8,3,70.15,70.49
新竹市,28,1294,188,65,164,772,93,241,19,61.39,81.46
嘉義市,25,961,110,51,168,545,57,15,1,57.34,58.99
金門縣,1,839,243,97,259,447,88,137,44,60.23,75.84
連江縣,1,64,3,1,11,41,2,2,0,63.93,67.21
合計,1417,99611,14811,4456,19108,64341,8037,6609,1030,66.40,72.98
