縣市,登記單位數,登記數(A),除戶數(B),轉讓數(C),變更數(D),絕育數(E),絕育除戶數(F),免絕育數(G),免絕育除戶數(H),絕育率(E-F)/(A-B),繁殖管理率(E-F)+(G-H)/(A-B)
新北市,276,14865,1412,11960,5925,7920,604,379,17,54.38,57.07
臺北市,217,8666,736,6620,5145,5429,336,203,8,64.22,66.68
臺中市,207,14284,1402,7503,3257,9515,789,1831,107,67.74,81.12
臺南市,153,9190,586,4308,1889,4214,140,585,24,47.35,53.87
高雄市,205,15286,2390,9717,3304,7984,786,963,110,55.82,62.43
桃園市,168,9922,556,7835,3464,5585,255,105,11,56.91,57.91
宜蘭縣,21,1913,205,1118,576,943,96,193,21,49.59,59.66
新竹縣,24,2598,226,1667,941,1591,101,191,11,62.82,70.40
苗栗縣,22,4075,663,1732,1135,1675,171,71,5,44.08,46.01
彰化縣,60,6071,917,2739,1536,3837,596,197,10,62.88,66.51
南投縣,19,3495,388,1050,619,2477,181,161,20,73.90,78.44
雲林縣,33,3949,511,1553,604,2292,299,354,15,57.97,67.83
嘉義縣,12,2341,245,1396,410,1341,55,83,4,61.35,65.12
屏東縣,78,4081,465,2499,1178,2139,150,43,5,55.01,56.06
臺東縣,7,2997,750,589,457,1668,432,70,7,55.01,57.81
花蓮縣,26,3283,269,815,890,1879,128,26,1,58.10,58.93
澎湖縣,7,747,157,443,349,322,39,90,7,47.97,62.03
基隆市,14,1315,92,1180,493,671,23,10,1,52.98,53.72
新竹市,32,1444,134,1230,482,828,37,83,3,60.38,66.49
嘉義市,30,947,86,693,277,430,36,27,0,45.76,48.90
金門縣,1,715,138,352,250,342,52,168,18,50.26,76.26
連江縣,1,54,3,24,19,26,2,2,0,47.06,50.98
合計,1613,112238,12331,67023,33200,63108,5308,5835,405,57.85,63.29
