項次,性別,年齡,職業,薪水,婚姻,居住地,交通方式,飲料偏好,價格,外送習慣,,,,,,,,,,,,
20,女,20,服務業,32500,已婚,松山區,公車,五桐號,40,是,,,,,,,,,,,,
59,女,20,職員,29500,未婚,內湖區,開車,珍煮丹,60,否,,,,,,,,,,,,
74,女,20,職員,36000,未婚,萬華區,捷運,萬波,35,是,,,,,,,,,,,,
95,女,20,服務業,38500,已婚,松山區,公車,萬波,45,否,,,,,,,,,,,,
119,男,20,服務業,46000,已婚,大同區,騎車,珍煮丹,45,是,,,,,,,,,,,,
274,男,20,學生,26000,未婚,松山區,公車,其他,60,否,,,,,,,,,,,,
294,男,20,傳統市場,45500,未婚,中山區,捷運,五桐號,35,否,,,,,,,,,,,,
298,男,20,傳統市場,56500,已婚,萬華區,捷運,可不可,60,否,,,,,,,,,,,,
316,男,20,職員,35500,已婚,萬華區,捷運,五桐號,50,是,,,,,,,,,,,,
400,女,20,職員,39000,未婚,大安區,公車,清新福全,60,否,,,,,,,,,,,,
458,女,20,職員,70500,已婚,南港區,捷運,約翰紅茶,65,否,,,,,,,,,,,,
481,女,20,職員,56000,已婚,大安區,捷運,50嵐,70,否,,,,,,,,,,,,
492,男,20,職員,40000,未婚,文山區,捷運,春水堂,45,否,,,,,,,,,,,,
498,男,20,服務業,39500,未婚,北投區,公車,龜記,40,否,,,,,,,,,,,,
514,女,20,職員,43000,未婚,士林區,開車,春水堂,40,否,,,,,,,,,,,,
528,男,20,傳統市場,39000,未婚,中正區,開車,可不可,55,否,,,,,,,,,,,,
540,男,20,職員,56500,未婚,文山區,騎車,萬波,70,否,,,,,,,,,,,,
561,女,20,金融業,41000,未婚,士林區,捷運,萬波,35,否,,,,,,,,,,,,
576,男,20,教師,40000,未婚,大同區,捷運,約翰紅茶,70,否,,,,,,,,,,,,
609,男,20,職員,43500,未婚,北投區,騎車,可不可,45,是,,,,,,,,,,,,
610,男,20,職員,29500,已婚,大同區,騎車,龜記,50,否,,,,,,,,,,,,
615,女,20,服務業,38000,未婚,內湖區,騎車,春水堂,40,否,,,,,,,,,,,,
618,女,20,零售業,36000,已婚,松山區,騎車,龜記,45,是,,,,,,,,,,,,
721,男,20,金融業,35500,未婚,南港區,捷運,CoCo都可,70,是,,,,,,,,,,,,
726,女,20,職員,31000,未婚,萬華區,公車,清新福全,45,否,,,,,,,,,,,,
737,女,20,學生,12500,未婚,大安區,騎車,珍煮丹,40,否,,,,,,,,,,,,
743,男,20,傳統市場,51000,已婚,中山區,開車,其他,70,是,,,,,,,,,,,,
756,女,20,零售業,44000,未婚,中山區,騎車,天仁茗茶,35,否,,,,,,,,,,,,
765,男,20,警察,47000,未婚,中山區,公車,天仁茗茶,60,否,,,,,,,,,,,,
768,女,20,職員,29500,已婚,萬華區,公車,CoCo都可,45,否,,,,,,,,,,,,
774,女,20,金融業,38500,未婚,中山區,公車,萬波,70,否,,,,,,,,,,,,
